id,Full Name,year of birth,Gender,Zip Code
763,Chris Hare,1971,M,02113
764,Rosa Williams,1971,F,62903
765,Troy Sparrow,1967,M,33066
766,Raymond Jacobsen,1956,M,10960
767,Chris Cross,1928,M,00000
768,Hubert Stevenson,1969,M,12866
769,Vincent Jones,1959,M,06927
770,Tyson Midgette,1970,M,14216
771,John Stanley,1972,M,15232
772,John Yeaton,1948,M,27105
773,Robert Platt,1978,M,55414
774,Charles Allen,1968,M,80027
775,Kenneth Goodman,1952,M,90036
776,Robert Brindle,1968,M,51157
777,Frank Alexander,1935,M,01810
778,Robert Martinez,1964,M,01960
779,Fred Granger,1967,M,K7L5J
780,Edward Soileau,1949,M,94560
781,Earl Mclaurin,1978,M,48825
782,Teresa Weckhorst,1977,F,33205
783,Larry Turley,1968,M,77081
784,Lance Smith,1951,M,91040
785,David Fraley,1966,M,23322
786,Maria Nolazco,1962,F,01754
787,Diann Spachtholz,1980,F,98620
788,Michael Wall,1947,M,05779
789,Barry Holloway,1969,M,55420
790,Hugh Connolly,1971,M,80913
791,Carl Bankston,1967,M,20064
792,Albert Rokus,1958,M,12205
793,Darren Diaz,1976,M,85281
794,James Heep,1966,M,57197
795,Jamey Whit,1968,M,08610
796,Kimberly Herrera,1966,F,33755
797,Elaine Santiago,1954,F,62522
798,Katherine Steege,1958,F,64131
799,Jeannette Grubbs,1949,F,19716
800,Wesley Stowe,1973,M,55337
801,John Johnson,1976,M,92154
802,Albert Brickley,1963,M,34105
803,Matthew Laster,1928,M,78212
804,Robert Anderson,1959,M,61820
805,Katina Keller,1971,F,20009
806,Calvin Smith,1971,M,11217
807,Marquerite Rosales,1957,F,93555
808,Jason Church,1953,M,90016
809,Alice Staley,1948,F,30803
810,Juana Mcgill,1943,F,80526
811,Margie Leach,1958,F,73013
812,Allan Skipper,1976,M,76234
813,Mae Isenhour,1984,F,02136
814,Robert Henderson,1968,M,12345
815,Robert Brown,1966,M,28806
816,Lewis Espinoza,1964,M,20755
817,Joseph Cotter,1979,M,60152
818,Scott Burroughs,1970,M,27514
819,James Higgins,1939,M,40205
820,Roger Barut,1976,M,37725
821,William Crum,1961,M,77845
822,Mary Horne,1969,F,53144
823,Alfred Rubel,1971,M,50322
824,Richard Soria,1967,M,15017
825,Benny Dipaola,1954,M,05452
826,Steven Lopez,1970,M,77048
827,Betty Nelson,1975,F,80228
828,Shawn Millet,1970,M,85282
829,Leonardo James,1950,M,80209
830,Bert Kendrick,1952,M,53066
831,Galen Clouse,1977,M,33765
832,Chris Longoria,1974,M,77042
833,Sammy Hoover,1964,M,90019
834,Lonnie Rodriguez,1972,M,64153
835,Jennifer Navejas,1954,F,11577
836,Louis Hickson,1954,M,10018
837,Ida Higbee,1962,F,55409
838,Milton Minichiello,1975,M,01375
839,Carolyn Barnett,1960,F,90814
840,Tyson Pratt,1959,M,55406
841,Leonard Taylor,1953,M,47401
842,Douglas Williams,1958,M,93055
843,Nicholas Pickering,1963,M,44212
844,John Castilo,1976,M,95662
845,Gregory Deese,1934,M,97405
846,Chad Hatton,1971,M,47130
847,Douglas Foster,1969,M,55417
848,Kenneth Scott,1952,M,02146
849,Cara Lusk,1983,F,25652
850,Michael Lucero,1964,M,78390
851,George Lemoine,1980,M,29646
852,Phillip Savage,1952,M,94086
853,Robert Bowling,1949,M,40515
854,Marissa Golden,1969,F,55408
855,David Cox,1945,M,04988
856,Lydia Roberts,1955,F,97215
857,Nichole Husbands,1963,F,V1G4L
858,Ted Parker,1935,M,09645
859,Audrey Pearson,1980,F,06492
860,Annette Trotter,1928,F,48322
861,Betty Markis,1960,F,14085
862,Michael Benjamin,1973,M,13820
863,Anthony Cedar,1981,M,60089
864,Joshua Kotas,1971,M,63021
865,Charles Jones,1973,M,11231
866,Melvin Collar,1953,M,60302
867,Jacob Mcnitt,1974,M,92507
868,Tim Treadway,1977,M,55303
869,James Browne,1968,M,10025
870,Robert Ware,1976,M,65203
871,Randall Cain,1967,M,44648
872,Alissa Borgen,1979,F,74078
873,Doris Schmidt,1950,F,33763
874,Patrick Fowler,1962,M,37076
875,Ruth Tankersley,1974,F,35802
876,Robert Vargas,1957,M,20902
877,Graig Dean,1968,M,77504
878,Leslie Mayberry,1948,F,98027
879,Jennifer Davis,1965,F,55337
880,David Kelso,1985,M,83702
881,Michael Valdez,1959,M,43017
882,Nicholas Moore,1963,M,40503
883,Jeff Addington,1949,M,50266
884,James Christ,1954,M,55337
885,Rhonda Miller,1968,F,95316
886,Jesus Rollins,1978,M,61820
887,Lorilee Weaver,1984,F,27249
888,Mark Hoar,1957,M,17036
889,Kevin Wibbens,1974,M,78704
890,Joseph Melton,1966,M,97301
891,Laurie Etsitty,1947,F,03062
892,George Major,1962,M,45243
893,Robert Tackett,1973,M,95823
894,Howard Elam,1951,M,74075
895,Margie Harris,1967,F,32301
896,Ray Perez,1970,M,91505
897,Joey Thau,1968,M,33484
898,Clarence Carter,1975,M,61755
899,Nicholas Fisher,1966,M,55116
900,William Solomon,1938,M,18505
901,John Saunders,1960,M,L1V3W
902,Vergie Sheets,1953,F,97203
903,Brian Lundberg,1970,M,20850
904,Jennifer Brandenburg,1981,F,61073
905,David Kahill,1971,M,30350
906,Nathaniel Bresnahan,1953,M,70124
907,Karen Nelson,1973,F,80526
908,Patty Dix,1954,F,68504
909,Isabella Otis,1948,F,53171
910,John Suzuki,1970,M,29301
911,Shelley Young,1961,F,53210
912,Jason Hardy,1947,M,06512
913,Jacob Johnson,1971,M,76201
914,Catherine Parker,1954,F,08105
915,Frank Mosley,1948,M,60614
916,Miguel Hernandez,1971,M,N2L5N
917,Sally Vazquez,1976,F,20006
918,Armando Davis,1958,M,70116
919,Bobby Lall,1973,M,14216
920,Ruby Lewis,1968,F,90008
921,Helen Jordan,1978,F,98801
922,Debora Coffman,1969,F,21114
923,Jason Lee,1977,M,E2E3R
924,Dave Quezada,1969,M,11753
925,Marilyn Burnside,1980,F,49036
926,Mark Chittum,1949,M,01701
927,Samuel Reid,1975,M,55428
928,Harold Zemlicka,1977,M,55408
929,Edward Robinson,1954,M,53711
930,Cleo Feinberg,1970,F,07310
931,Lance Wilson,1938,M,33556
932,Chadwick Meeker,1940,M,06437
933,John Sorenson,1970,M,48105
934,Lloyd Barber,1937,M,22902
935,Kenneth Miller,1956,M,66221
936,Edgar Girdler,1974,M,32789
937,Bruce Stickland,1950,M,98072
938,Erica Rome,1960,F,55038
939,Kim Privitera,1972,F,33319
940,Louis Quarry,1966,M,02215
941,Quinton Reamer,1978,M,97229
942,Ruby Bridges,1950,F,78209
943,Dannie Cintron,1976,M,77841
